Timestamp,Anomaly_Type,Value,Threshold,Severity,Exceeded_By
2025-11-24T13:43:55.683984,TDS,908.98,500.00,high,408.98 (81.8%)
2025-11-24T13:43:57.899163,TDS,728.53,500.00,high,228.53 (45.7%)
2025-11-24T13:44:10.105426,TDS,504.49,500.00,medium,4.49 (0.9%)
2025-11-24T13:44:22.339833,TDS,751.75,500.00,high,251.75 (50.3%)
2025-11-24T19:23:13.607794,TDS,1129.16,500.00,high,629.16 (125.8%)
2025-11-24T19:23:25.821735,TDS,912.03,500.00,high,412.03 (82.4%)
2025-11-24T19:33:06.891027,TDS,1192.78,500.00,high,692.78 (138.6%)
2025-11-24T19:33:28.100931,TDS,1378.26,500.00,high,878.26 (175.7%)
2025-11-24T19:33:35.179010,TDS,834.37,500.00,high,334.37 (66.9%)
2025-11-24T19:34:03.489978,TDS,869.50,500.00,high,369.50 (73.9%)
2025-11-24T19:34:10.574765,Turbidity,31.59,5.00,high,26.59 (531.8%)
2025-11-24T19:34:24.903294,TDS,586.96,500.00,medium,86.96 (17.4%)
2025-11-24T19:34:31.972041,TDS,1230.70,500.00,high,730.70 (146.1%)
2025-11-24T19:34:39.050198,TDS,884.17,500.00,high,384.17 (76.8%)
2025-11-24T19:34:46.134178,TDS,651.33,500.00,medium,151.33 (30.3%)
2025-11-24T19:34:46.137421,Turbidity,14.31,5.00,high,9.31 (186.2%)
2025-11-24T19:34:53.220808,TDS,884.47,500.00,high,384.47 (76.9%)
2025-11-24T19:35:52.863720,Turbidity,31.97,5.00,high,26.97 (539.4%)
2025-11-24T19:35:59.935598,TDS,1191.31,500.00,high,691.31 (138.3%)
2025-11-24T19:36:07.009299,TDS,1456.51,500.00,high,956.51 (191.3%)
2025-11-24T19:36:14.070324,Turbidity,17.56,5.00,high,12.56 (251.2%)
2025-11-24T19:36:21.136038,TDS,893.12,500.00,high,393.12 (78.6%)
2025-11-24T19:36:28.210636,Turbidity,32.57,5.00,high,27.57 (551.4%)
2025-11-24T19:36:35.257909,Turbidity,38.93,5.00,high,33.93 (678.6%)
2025-11-24T19:36:42.319031,Turbidity,8.77,5.00,medium,3.77 (75.4%)
2025-11-24T19:45:53.385936,TDS,909.51,500.00,high,409.51 (81.9%)
2025-11-24T19:45:53.389308,Turbidity,22.19,5.00,high,17.19 (343.8%)
2025-11-24T19:46:00.449758,TDS,971.21,500.00,high,471.21 (94.2%)
2025-11-24T19:46:14.631720,Turbidity,7.19,5.00,medium,2.19 (43.8%)
2025-11-24T19:46:21.719208,Turbidity,30.96,5.00,high,25.96 (519.2%)
2025-11-24T19:46:28.803735,Turbidity,45.86,5.00,high,40.86 (817.2%)
2025-11-24T19:46:35.875038,TDS,547.37,500.00,medium,47.37 (9.5%)
2025-11-24T19:46:35.877591,Turbidity,12.31,5.00,high,7.31 (146.2%)
2025-11-24T19:46:42.982879,TDS,1172.30,500.00,high,672.30 (134.5%)
2025-11-24T19:46:42.997218,Turbidity,15.13,5.00,high,10.13 (202.6%)
2025-11-24T19:46:50.064453,TDS,613.19,500.00,medium,113.19 (22.6%)
2025-11-24T19:46:57.126803,TDS,1360.85,500.00,high,860.85 (172.2%)
2025-11-24T19:47:04.193042,Turbidity,5.59,5.00,medium,0.59 (11.8%)
2025-11-24T19:47:11.281259,Turbidity,35.90,5.00,high,30.90 (618.0%)
2025-11-24T19:47:18.370217,Turbidity,17.32,5.00,high,12.32 (246.4%)
2025-11-24T19:47:39.607050,TDS,1208.22,500.00,high,708.22 (141.6%)
2025-11-24T19:47:46.697778,TDS,1158.82,500.00,high,658.82 (131.8%)
2025-11-24T19:47:46.702041,Turbidity,29.42,5.00,high,24.42 (488.4%)
2025-11-24T19:48:00.830683,TDS,1254.35,500.00,high,754.35 (150.9%)
