Timestamp,TDS_ppm,Turbidity_NTU,Temperature_Celsius,Depot_ID
2025-11-24T06:43:44.845063+00:00,135.01,4.44,25.21,DEPOT_004
2025-11-24T06:43:47.018911+00:00,239.86,4.31,28.86,DEPOT_004
2025-11-24T06:43:49.195710+00:00,289.42,4.39,25.18,DEPOT_002
2025-11-24T06:43:51.360014+00:00,138.77,1.12,27.72,DEPOT_007
2025-11-24T06:43:53.519546+00:00,288.62,3.72,29.17,DEPOT_006
2025-11-24T06:43:55.685122+00:00,908.98,3.53,27.9,DEPOT_007
2025-11-24T12:22:52.743712+00:00,251.33,0.9,26.18,DEPOT_008
2025-11-24T12:22:54.913158+00:00,106.73,0.84,25.33,DEPOT_003
2025-11-24T12:22:57.073937+00:00,103.85,1.47,27.0,DEPOT_003
2025-11-24T12:22:59.244877+00:00,164.97,3.54,28.59,DEPOT_007
2025-11-24T12:33:06.895256+00:00,1192.78,1.88,26.72,DEPOT_010
2025-11-24T12:33:13.963605+00:00,145.35,4.47,26.23,DEPOT_005
2025-11-24T12:33:21.038257+00:00,194.27,0.92,26.78,DEPOT_001
2025-11-24T12:33:28.105065+00:00,1378.26,0.56,31.7,DEPOT_006
2025-11-24T12:33:35.180824+00:00,834.37,1.63,31.16,DEPOT_008
2025-11-24T12:33:42.251947+00:00,231.89,2.74,31.31,DEPOT_006
2025-11-24T12:33:49.337374+00:00,156.13,1.66,29.07,DEPOT_006
2025-11-24T12:33:56.413325+00:00,107.22,4.37,26.92,DEPOT_003
2025-11-24T12:34:03.491317+00:00,869.5,2.81,26.64,DEPOT_001
2025-11-24T12:34:10.577322+00:00,271.77,31.59,25.09,DEPOT_006
2025-11-24T12:34:17.825999+00:00,294.42,3.41,28.19,DEPOT_001
2025-11-24T12:34:24.906612+00:00,586.96,3.85,26.5,DEPOT_005
2025-11-24T12:34:31.974573+00:00,1230.7,2.98,30.78,DEPOT_005
2025-11-24T12:34:39.052267+00:00,884.17,0.92,25.62,DEPOT_004
2025-11-24T12:34:46.139880+00:00,651.33,14.31,29.54,DEPOT_005
2025-11-24T12:34:53.223559+00:00,884.47,4.03,31.46,DEPOT_006
2025-11-24T12:35:38.693022+00:00,105.37,3.81,28.05,DEPOT_010
2025-11-24T12:35:45.781173+00:00,65.28,0.73,25.57,DEPOT_001
2025-11-24T12:35:52.865498+00:00,266.45,31.97,26.09,DEPOT_004
2025-11-24T12:35:59.937496+00:00,1191.31,0.58,26.79,DEPOT_008
2025-11-24T12:36:07.010816+00:00,1456.51,0.77,25.8,DEPOT_009
2025-11-24T12:36:14.071509+00:00,99.39,17.56,28.57,DEPOT_003
2025-11-24T12:36:21.137159+00:00,893.12,1.28,26.82,DEPOT_003
2025-11-24T12:36:28.211637+00:00,292.5,32.57,25.32,DEPOT_007
2025-11-24T12:36:35.259948+00:00,279.47,38.93,26.86,DEPOT_010
2025-11-24T12:36:42.322035+00:00,64.99,8.77,27.44,DEPOT_005
2025-11-24T12:36:49.404284+00:00,108.6,3.2,27.27,DEPOT_006
2025-11-24T12:45:53.391361+00:00,909.51,22.19,30.66,DEPOT_006
2025-11-24T12:46:00.450355+00:00,971.21,1.28,26.45,DEPOT_010
2025-11-24T12:46:07.517125+00:00,109.41,0.52,25.09,DEPOT_002
2025-11-24T12:46:14.635135+00:00,231.61,7.19,31.91,DEPOT_006
2025-11-24T12:46:21.721620+00:00,136.93,30.96,26.24,DEPOT_002
2025-11-24T12:46:28.805027+00:00,291.64,45.86,26.16,DEPOT_008
2025-11-24T12:46:35.879986+00:00,547.37,12.31,31.89,DEPOT_004
2025-11-24T12:46:42.999393+00:00,1172.3,15.13,29.44,DEPOT_008
2025-11-24T12:46:50.066113+00:00,613.19,1.84,25.15,DEPOT_008
2025-11-24T12:46:57.127823+00:00,1360.85,1.49,26.75,DEPOT_008
2025-11-24T12:47:04.194042+00:00,147.23,5.59,28.12,DEPOT_006
2025-11-24T12:47:11.284186+00:00,283.15,35.9,29.42,DEPOT_004
2025-11-24T12:47:18.373004+00:00,130.6,17.32,27.58,DEPOT_009
2025-11-24T12:47:25.468187+00:00,273.58,0.99,26.48,DEPOT_007
2025-11-24T12:47:32.547808+00:00,134.98,2.89,29.11,DEPOT_002
2025-11-24T12:47:39.608635+00:00,1208.22,0.54,25.69,DEPOT_001
2025-11-24T12:47:46.704577+00:00,1158.82,29.42,25.39,DEPOT_002
2025-11-24T12:47:53.782005+00:00,84.57,2.9,29.91,DEPOT_001
2025-11-24T12:48:00.832882+00:00,1254.35,0.82,31.98,DEPOT_008
2025-11-24T12:48:07.890187+00:00,75.68,1.36,31.32,DEPOT_001
2025-11-24T13:01:50.838425+00:00,228.89,4.02,27.95,DEPOT_006
